Facility Name,Location,Number of Beds,Property Ownership
Nightingale,Dorset UK,10,Owned
Norcott House,Liversedge UK,11,Owned
Norcott Lodge,Liversedge UK,9,Owned
Oakhurst Lodge,Hampshire UK,8,Owned
Oaklands,Northumberland UK,19,Owned
Old Leigh House,Essex UK,7,Leased
The Orchards,Essex UK,5,Owned
Outwood,Leeds UK,10,Owned
Oxley Lodge,Huddersfield UK,4,Owned
Oxley Woodhouse,Huddersfield UK,13,Owned
Pines,Mansfield Woodhouse UK,7,Owned
Ranaich House,Dunblane UK,14,Owned
Redlands,Darlington UK,5,Owned
Rhyd Alyn,Flintshire UK,6,Owned
River View,Darlington UK,4,Owned
Shear Meadow,Hemel Hempstead UK,4,Owned
Sherwood Lodge Step Down,Mansfield UK,9,Owned
The Squirrels,Hampshire UK,9,Owned
4 5 7 The Sycamores,South Normanton UK,6,Owned
15 The Sycamores,South Normanton UK,4,Owned
Tabley House Nursing Home,Knutsford UK,51,Leased
Thistle House,Dundee UK,10,Owned
Thornfield Grange,Bishop Auckland UK,9,Owned
Thornfield House,Bradford UK,7,Owned
Thors Park,Essex UK,14,Owned
Toller Road,Leicestershire UK,8,Owned
Trinity House,Lockerbie UK,13,Owned
Trinity Lodge,Lockerbie UK,6,Owned
Tupwood Gate Nursing Home,Caterham UK,33,Owned
Ty Alarch,Merthyr Tydfil,6,Owned
1Vincent Court,Lancashire UK,5,Owned
Walkern Lodge,Stevenage UK,4,Owned
Willow House,Birmingham UK,8,Owned
Woodcross & Turls Hill,Wolverhampton UK,8,Owned
Woodrow House,Stockport UK,9,Owned
