Facility_Name,City,State,Beds,Ownership,NPI,Medicare_ID,AHD_URL,Total Staffed Bed,Occupancy_%,ALOS_Days, Annual_Discharges , Annual_Patient_Days ,Patient Reve,Medicare_%,Medicaid_%,Commercial_%,Self_Pay_%,Data_Date,Notes
Fairmount Behavioral Health System,Philadelphia,PA,239,OWNED,,394027,https://www.ahd.com/free_profile/394024/Fairmount-Behavioral-Health-System/Philadelphia/PA/,169,,,"3,398","49,697","$77,760,514 ",,,,,10/22/25,Extract from AHD
Forest View Hospital,Grand Rapids,MI,108,OWNED,,234030,https://www.ahd.com/free_profile/234041/Forest-View-Hospital/Grand-Rapids/MI/,108,,,"3,413","33,860","$70,360,740 ",,,,,10/22/25,Extract from AHD
Friends Hospital,Philadelphia,PA,219,OWNED,,394008,https://www.ahd.com/free_profile/394003/Friends-Hospital/Philadelphia/PA/,192,,,"4,757","64,718","$129,394,848 ",,,,,10/22/25,Extract from AHD
Havenwyck Hospital,Auburn Hills,MI,253,OWNED,,234023,https://www.ahd.com/free_profile/234201/Havenwyck-Hospital/Auburn-Hills/MI/,213,,,"5,455","66,276","$110,248,656 ",,,,,10/22/25,Extract from AHD
Hickory Trail Hospital,DeSoto,TX,86,OWNED,1467965905,454065,https://www.ahd.com/free_profile/674055/Hickory-Trail-Hospital/DeSoto/TX/,86,,,"2,661","23,951","$52,728,890 ",,,,,10/22/25,Extract from AHD
Kingwood Pines Hospital,Kingwood,TX,116,OWNED,,454103,https://www.ahd.com/free_profile/454104/Kingwood-Pines-Hospital/Kingwood/TX/,116,,,"3,823","32,885","$70,430,250 ",,,,,10/22/25,Extract from AHD
Laurel Ridge Treatment Center,San Antonio,TX,330,OWNED,1043280951,454060,https://www.ahd.com/free_profile/454055/Laurel-Ridge-Treatment-Center/San-Antonio/TX/,288,,,"10,216","86,998","$258,504,865 ",,,,,10/22/25,Extract from AHD
Mayhill Hospital,Denton,TX,59,LEASED,1447331418,670010,https://www.ahd.com/free_profile/674054/Mayhill-Hospital/Denton/TX/,59,,,,,"$41,797,513 ",,,,,10/22/25,Extract from AHD
The Meadows Psychiatric Center,Centre Hall,PA,119,OWNED,,394040,https://www.ahd.com/free_profile/394055/The-Meadows-Psychiatric-Center/Centre-Hall/PA/,119,,,"1,899","29,040","$46,464,000 ",,,,,10/22/25,Extract from AHD
Mesilla Valley Hospital,Las Cruces,NM,120,OWNED,1841205671,324010,https://www.ahd.com/free_profile/324002/Mesilla-Valley-Hospital/Las-Cruces/NM/,120,,,"4,109","32,137","$103,022,515 ",,,,,10/22/25,Extract from AHD
Millwood Hospital,Arlington,TX,134,LEASED,,454012,https://www.ahd.com/free_profile/454089/Millwood-Hospital/Arlington/TX/,134,,,"7,340","38,326","$89,998,569 ",,,,,10/22/25,Extract from AHD
Newport News Behavioral Health Center,Newport News,VA,132,OWNED,1306389184,494016,https://www.ahd.com/free_profile/494016/Newport-News-Behavioral-Health-Center/Newport-News/VA/,,,,,,,,,,,10/22/25,Extract from AHD
North Star Hospital,Anchorage,AK,74,OWNED,,24001,https://www.ahd.com/free_profile/024001/North-Star-Hospital/Anchorage/AK/,74,,,415,"14,389","$74,528,800 ",,,,,10/22/25,Extract from AHD
Old Vineyard Behavioral Health Services,Winston-Salem,NC,164,OWNED,,344007,https://www.ahd.com/free_profile/344038/Old-Vineyard-Behavioral-Health-Services/Winston-Salem/NC/,164,,,"6,160","53,571","$87,045,086 ",,,,,10/22/25,Extract from AHD
Palm Shores Behavioral Health Center,Bradenton,FL,65,OWNED,,104083,https://www.ahd.com/free_profile/104083/Palm-Shores-Behavioral-Health-Center/Bradenton/FL/,,,,,,,,,,,10/22/25,Extract from AHD
Palmetto Lowcountry Behavioral Health,North Charleston,SC,108,OWNED,,424006,https://www.ahd.com/free_profile/424011/Palmetto-Lowcountry-Behavioral-Health/North-Charleston/SC/,103,,,"2,303","19,627","$48,022,724 ",,,,,10/22/25,Extract from AHD
The Pavilion Behavioral Health System,Champaign,IL,122,OWNED,,144029,https://www.ahd.com/free_profile/144026/The-Pavilion-Behavioral-Health-System/Champaign/IL/,84,,,"2,766","20,832","$45,262,915 ",,,,,10/22/25,Extract from AHD
Peachford Hospital,Atlanta,GA,246,OWNED,,114010,https://www.ahd.com/free_profile/114010/Peachford-Hospital/Atlanta/Georgia/,245,,,"8,365","58,561","$138,175,770 ",,,,,10/22/25,Extract from AHD
Quail Run Behavioral Health,Phoenix,AZ,116,OWNED,,34031,https://www.ahd.com/free_profile/034031/Quail-Run-Behavioral-Health/Phoenix/Arizona/,116,,,"3,942","29,513","$68,069,500 ",,,,,10/22/25,Extract from AHD
River Oaks Hospital,Harahan,LA,126,OWNED,,194031,https://www.ahd.com/free_profile/194031/River-Oaks-Hospital/New-Orleans/Louisiana/,121,,,"4,255","4,255","$63,457,568 ",,,,,10/22/25,Extract from AHD
River Park Hospital,Huntington West,VA,187,OWNED,,514008,https://www.ahd.com/free_profile/514008/River-Park-Hospital/Huntington/West-Virginia/,116,,,639,"38,915","$77,828,150 ",,,,,10/22/25,Extract from AHD
River Point Behavioral Health,Jacksonville,FL,84,OWNED,,104016,https://www.ahd.com/free_profile/104016/River-Point-Behavioral-Health/Jacksonville/Florida/,84,,,"3,205","20,565","$50,934,435 ",,,,,10/22/25,Extract from AHD
Rockford Center,Newark,DE,148,OWNED,1275695355,84002,https://www.ahd.com/free_profile/084002/Rockford-Center/Newark/Delaware/,148,,,"4,264","41,088","$85,795,855 ",,,,,10/22/25,Extract from AHD
Rolling Hills Hospital,Franklin,TN,130,OWNED,1942442710,444007,https://www.ahd.com/free_profile/444007/Rolling-Hills-Hospital/Franklin/Tennessee/,130,,,"4,774","33,202","$72,818,973 ",,,,,10/22/25,Extract from AHD
Roxbury Treatment Center,Shippensburg,PA,112,OWNED,1295819704,394050,https://www.ahd.com/free_profile/394050/Roxbury-Treatment-Center/Shippensburg/Pennsylvania/,112,,,959,"33,198","$53,661,279 ",,,,,10/22/25,Extract from AHD
Salt Lake Behavioral Health,Salt Lake City,UT,118,LEASED,1053666883,464013,https://www.ahd.com/free_profile/464013/Salt-Lake-Behavioral-Health/Salt-Lake-City/Utah/,118,,,"1,910","28,125","$66,115,030 ",,,,,10/22/25,Extract from AHD
San Marcos Treatment Center,San Marcos,TX,265,OWNED,1942290267,454092,https://www.ahd.com/free_profile/454092/San-Marcos-Treatment-Center/San-Marcos/TX/,129,,101.7,,,x,,,,,10/22/25,Extract from AHD
Sierra Vista Hospital,Sacramento,CA,171,OWNED,1528066685,54087,https://www.ahd.com/free_profile/054087/Sierra-Vista-Hospital/Sacramento/California/,171,,,"5,161","59,473","$133,463,201 ",,,,,10/22/25,Extract from AHD
Spring Mountain Sahara,Las Vegas,NV,30,OWNED,1417312778,294010,https://www.ahd.com/free_profile/294010/Spring-Mountain-Sahara/Las-Vegas/Nevada/,30,,,604,"4,847","$10,772,880 ",,,,,10/22/25,Extract from AHD
Spring Mountain Treatment Center,Las Vegas,NV,110,OWNED,1255306270,294011,https://www.ahd.com/free_profile/294011/Spring-Mountain-Treatment-Center/Las-Vegas/Nevada/,110,,,"4,293","26,374","$52,738,000 ",,,,,10/22/25,Extract from AHD
Springwoods Behavioral Health,Fayetteville,AR,80,OWNED,,044019,https://www.ahd.com/free_profile/044019/Springwoods-Behavioral-Health/Fayetteville/Arkansas/,80,,,"2,290","15,515","$35,758,519 ",,,,,10/22/25,Extract from AHD
SummitRidge Hospital,Lawrenceville,GA,106,OWNED,1033359195,114004,https://www.ahd.com/free_profile/114004/SummitRidge-Hospital/Lawrenceville/Georgia/,106,,,"4,289","36,699","$84,491,763 ",,,,,10/22/25,Extract from AHD
Suncoast Behavioral Health Center,Bradenton,FL,60,OWNED,1740600709,104078,https://www.ahd.com/free_profile/104078/Suncoast-Behavioral-Health-Center/Bradenton/Florida/,,,,,,,,,,,10/22/25,Extract from AHD
Texas NeuroRehab Center,Austin,TX,137,OWNED,,452038,https://www.ahd.com/free_profile/452038/Texas-NeuroRehab-Center/Austin/Texas/,47,,,,,"$122,744,284 ",,,,,10/22/25,Extract from AHD
Three Rivers Behavioral Health,West Columbia,SC,129,OWNED,1073509055,424008,https://www.ahd.com/free_profile/424008/Three-Rivers-Behavioral-Health/West-Columbia/South-Carolina/,132,,,"4,693","36,432","$86,355,735 ",,,,,10/22/25,Extract from AHD
Turning Point Care Center,Moultrie,GA,79,OWNED,,110209,https://www.ahd.com/free_profile/110209/Turning-Point-Care-Center/Moultrie/Georgia/,79,,,"1,757","6,958","$86,707,773 ",,,,,10/22/25,Extract from AHD
University Behavioral Center,Orlando,FL,112,OWNED,1851395263,104076,https://www.ahd.com/free_profile/104076/University-Behavioral-Center/Orlando/Florida/,112,,,"5,099","23,854","$54,772,350 ",,,,,10/22/25,Extract from AHD
University Behavioral Health of Denton,Denton,TX,104,OWNED,,454104,https://www.ahd.com/free_profile/454104/University-Behavioral-Health-of-Denton/Denton/Texas/,104,,,"3,651","22,598","$52,841,075 ",,,,,10/22/25,Extract from AHD
Valle Vista Health System,Greenwood,IN,140,OWNED,1467612341,154024,https://www.ahd.com/free_profile/154024/Valle-Vista-Health-System/Greenwood/Indiana/,98,,,"3,370","23,287","$62,108,813 ",,,,,10/22/25,Extract from AHD
Valley Hospital,Phoenix,AZ,122,OWNED,,034026,https://www.ahd.com/free_profile/034026/Valley-Hospital-Phoenix/Phoenix/Arizona/,122,,,"5,047","41,208","$105,250,335 ",,,,,10/22/25,Extract from AHD
Virginia Beach Psychiatric Center,Virginia Beach,VA,100,OWNED,1326071093,494025,https://www.ahd.com/free_profile/494025/Virginia-Beach-Psychiatric-Center/Virginia-Beach/Virginia/,100,,,"4,133","23,776","$51,651,625 ",,,,,10/22/25,Extract from AHD
Wekiva Springs Center,Jacksonville,FL,120,OWNED,1942471065,104069,https://www.ahd.com/free_profile/104069/Wekiva-Springs-Center/Jacksonville/Florida/,120,,,"3,070","20,155","$54,334,491 ",,,,,10/22/25,Extract from AHD
Wellstone Regional Hospital,Jeffersonville,IN,100,OWNED,1376746818,154051,https://www.ahd.com/free_profile/154051/Wellstone-Regional-Hospital/Jeffersonville/Indiana/,100,,,"2,982","23,026","$45,284,935 ",,,,,10/22/25,Extract from AHD
West Oaks Hospital,Houston,TX,176,OWNED,1598764359,454026,https://www.ahd.com/free_profile/454026/West-Oaks-Hospital/Houston/Texas/,160,,,"6,346","51,948","$116,747,750 ",,,,,10/22/25,Extract from AHD
Willow Springs Center,Reno,NV,116,OWNED,1790883205,294040,https://www.ahd.com/free_profile/294040/Willow-Springs-Center/Reno/NV/,,,,,,x,,,,,10/22/25,Extract from AHD
Windmoor Healthcare of Clearwater,Clearwater,FL,144,OWNED,1891888558,104017,https://www.ahd.com/free_profile/104017/Windmoor-Healthcare-of-Clearwater/Clearwater/Florida/,144,,,"3,780","25,207","$66,677,585 ",,,,,10/22/25,Extract from AHD
