Facility_Name,City,State,Beds,Ownership,Part,NPI,NPI_Legal_Name,Phone,Address,ZIP,Specialty,Medicare_ID,Has_AHD_Data,AHD_URL
Brooke Glen Behavioral Hospital,Fort Washington,PA,146,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Brooke+Glen+Behavioral+Hospital+PA
Brynn Marr Hospital,Jacksonville,NC,102,OWNED,1,1992701486,BRYNN MARR HOSPITAL INC,910-577-1400,192 VILLAGE DR,28546,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Brynn+Marr+Hospital+NC
Calvary Healing Center,Phoenix,AZ,68,OWNED,1,1679151203,CALVARY CENTER INC,602-535-3384,1730 E MCNAIR DR,85283,"Clinic/Center, Rehabilitation",,No,https://www.ahd.com/search.php?search=Calvary+Healing+Center+AZ
Canyon Creek Behavioral Health,Temple,TX,102,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Canyon+Creek+Behavioral+Health+TX
Canyon Ridge Hospital,Chino,CA,157,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Canyon+Ridge+Hospital+CA
The Carolina Center for Behavioral Health,Greer,SC,156,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Carolina+Center+for+Behavioral+Health+SC
Cedar Creek Hospital,St. Johns,MI,69,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cedar+Creek+Hospital+MI
Cedar Hills Hospital,Portland,OR,98,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cedar+Hills+Hospital+OR
Cedar Ridge Behavioral Hospital,Oklahoma City,OK,60,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cedar+Ridge+Behavioral+Hospital+OK
Cedar Ridge Behavioral Hospital at Bethany,Bethany,OK,56,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cedar+Ridge+Behavioral+Hospital+at+Bethany+OK
Cedar Ridge Residential Treatment Center,Oklahoma City,OK,56,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cedar+Ridge+Residential+Treatment+Center+OK
Cedar Springs Hospital,Colorado Springs,CO,110,OWNED,1,1972980027,CEDAR SPRINGS HOSPITAL,719-329-5350,2135 SOUTHGATE RD,80906,Pharmacy,064018,Yes,https://www.ahd.com/free_profile/064018/Cedar-Springs-Hospital/Colorado-Springs/CO/
Centennial Peaks Hospital,Louisville,CO,104,OWNED,1,1760623888,UHS OF CENTENNIAL PEAKS LLC,303-673-9990,2255 S 88TH ST,80027,Psychiatric Hospital,064026,Yes,https://www.ahd.com/free_profile/064026/Centennial-Peaks-Hospital/Louisville/CO/
Center for Change,Orem,UT,66,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Center+for+Change+UT
Central Florida Behavioral Hospital,Orlando,FL,174,OWNED,1,,,,,,,104084,Yes,https://www.ahd.com/free_profile/104084/Central-Florida-Behavioral-Hospital/Orlando/FL/
Clarion Psychiatric Center,Clarion,PA,112,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Clarion+Psychiatric+Center+PA
Clive Behavioral Health,Clive,IA,100,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Clive+Behavioral+Health+IA
Coastal Behavioral Health,Savannah,GA,50,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Coastal+Behavioral+Health+GA
Coastal Harbor Treatment Center,Savannah,GA,145,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Coastal+Harbor+Treatment+Center+GA
Columbus Behavioral Center for Children and Adolescents,Columbus,IN,57,OWNED,1,1275580003,"COLUMBUS HOSPITAL, LLC",812-376-1771,2223 POSHARD RD,47203,"Counselor, Mental Health",,No,https://www.ahd.com/search.php?search=Columbus+Behavioral+Center+for+Children+and+Adolescents+IN
Compass Intervention Center,Memphis,TN,148,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Compass+Intervention+Center+TN
Copper Hills Youth Center,West Jordan,UT,164,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Copper+Hills+Youth+Center+UT
Coral Shores Behavioral Health,Stuart,FL,80,OWNED,1,1366895096,"CORAL SHORES BEHAVIORAL HEALTH, LLC",561-744-0211,5995 SE COMMUNITY DR,34997,"Psychiatry & Neurology, Psychiatry",104085,Yes,https://www.ahd.com/free_profile/104085/Coral-Shores-Behavioral-Health/Stuart/FL/
Cumberland Hall Hospital,Hopkinsville,KY,97,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cumberland+Hall+Hospital+KY
Cumberland Hospital for Children and Adolescents,New Kent,VA,108,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Cumberland+Hospital+for+Children+and+Adolescents+VA
Cypress Creek Hospital,Houston,TX,128,OWNED,1,,,,,,,454084,Yes,https://www.ahd.com/free_profile/454084/Cypress-Creek-Hospital/Houston/TX/
Del Amo Behavioral Health System,Torrance,CA,166,OWNED,1,1245203447,"DEL AMO HOSPITAL, INC",310-530-1151,23700 CAMINO DEL SOL,90505,Psychiatric Hospital,054076,Yes,https://www.ahd.com/free_profile/054076/Del-Amo-Behavioral-Health-System/Torrance/CA/
Diamond Grove Center,Louisville,MS,61,OWNED,1,1619000593,DIAMOND GROVE CENTER,662-779-0119,2311 HIGHWAY 15 S,39339,"Pharmacy, Institutional Pharmacy",,No,https://www.ahd.com/search.php?search=Diamond+Grove+Center+MS
Dover Behavioral Health System,Dover,DE,104,OWNED,1,1811289267,UHS OF DOVER LLC,302-744-7688,725 HORSEPOND RD,19901,Internal Medicine,,No,https://www.ahd.com/search.php?search=Dover+Behavioral+Health+System+DE
El Paso Behavioral Health System,El Paso,TX,166,OWNED,1,1386779304,"UNIVERSITY BEHAVIORAL HEALTH OF EL PASO, LLC",915-544-4000,1900 DENVER AVE,79902,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=El+Paso+Behavioral+Health+System+TX
Emerald Coast Behavioral Hospital,Panama City,FL,86,OWNED,1,1932742491,EMERALD COAST BEHAVIORAL HOSPITAL LLC,850-763-0017,1940 HARRISON AVE,32405,"Psychiatry & Neurology, Psychiatry",104082,Yes,https://www.ahd.com/free_profile/104082/Emerald-Coast-Behavioral-Hospital/Panama-City/FL/
Fairfax,Kirkland,WA,157,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fairfax+WA
Fairfax Behavioral Health,Kirkland,WA,157,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fairfax+Behavioral+Health+WA
Fairfax Behavioral Health—Everett,Everett,WA,30,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fairfax+Behavioral+Health—Everett+WA
Fairfax Behavioral Health—Monroe,Monroe,WA,34,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fairfax+Behavioral+Health—Monroe+WA
Fairmount Behavioral Health System,Philadelphia,PA,239,OWNED,1,,,,,,,394024,Yes,https://www.ahd.com/free_profile/394024/Fairmount-Behavioral-Health-System/Philadelphia/PA/
Forest View Hospital,Grand Rapids,MI,108,OWNED,1,,,,,,,234041,Yes,https://www.ahd.com/free_profile/234041/Forest-View-Hospital/Grand-Rapids/MI/
Fort Lauderdale Behavioral Health Center,Fort Lauderdale,FL,182,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fort+Lauderdale+Behavioral+Health+Center+FL
Foundations Behavioral Health,Doylestown,PA,122,LEASED,1,1629007752,DELAWARE VALLEY MENTAL HEALTH FOUNDATIONS,215-345-0444,833 E BUTLER AVE,18901,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Foundations+Behavioral+Health+PA
Foundations for Living,Mansfield,OH,84,OWNED,1,1134388739,FOUNDATIONS FOR LIVING,419-589-5511,1451 LUCAS RD,44903,"Community Based Residential Treatment Facility, Mental Illness",,No,https://www.ahd.com/search.php?search=Foundations+for+Living+OH
Fox Run Center,St. Clairsville,OH,100,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fox+Run+Center+OH
Fremont Hospital,Fremont,CA,148,OWNED,1,1245346741,BHC FREMONT HOSPITAL INC,510-796-1100,39001 SUNDALE DR,94538,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Fremont+Hospital+CA
Friends Hospital,Philadelphia,PA,219,OWNED,1,,,,,,,394003,Yes,https://www.ahd.com/free_profile/394003/Friends-Hospital/Philadelphia/PA/
Fuller Hospital,Attleboro,MA,109,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Fuller+Hospital+MA
Garfield Park Behavioral Hospital,Chicago,IL,88,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Garfield+Park+Behavioral+Hospital+IL
Glen Oaks Hospital,Greenville,TX,54,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Glen+Oaks+Hospital+TX
Granite Hills Hospital,West Allis,WI,120,LEASED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Granite+Hills+Hospital+WI
Gulf Coast Treatment Center,Fort Walton Beach,FL,28,OWNED,1,1700985462,GULF COAST TREATMENT CENTER,850-863-4160,1015 MAR WALT DRIVE,32547,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Gulf+Coast+Treatment+Center+FL
Gulfport Behavioral Health System,Gulfport,MS,109,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Gulfport+Behavioral+Health+System+MS
Hampton Behavioral Health Center,Westampton,NJ,120,OWNED,1,1437370715,"UHS OF HAMPTON, INC",609-267-7000,650 RANCOCAS RD,08060,"Psychiatry & Neurology, Psychiatry",,No,https://www.ahd.com/search.php?search=Hampton+Behavioral+Health+Center+NJ
Harbor Point Behavioral Health Center,Portsmouth,VA,186,OWNED,1,1275564361,HARBOR POINT BEHAVIORAL HEALTH CENTER INC,757-391-6699,301 FORT LN,23704,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Harbor+Point+Behavioral+Health+Center+VA
Hartgrove Behavioral Health System,Chicago,IL,160,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Hartgrove+Behavioral+Health+System+IL
Havenwyck Hospital,Auburn Hills,MI,253,OWNED,1,,,,,,,234201,Yes,https://www.ahd.com/free_profile/234201/Havenwyck-Hospital/Auburn-Hills/MI/
Heartland Behavioral Health Services,Nevada,MO,137,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Heartland+Behavioral+Health+Services+MO
Heritage Oaks Hospital,Sacramento,CA,125,OWNED,1,1083709653,BHC HERITAGE OAKS HOSPITAL INC.,916-489-3336,4250 AUBURN BLVD.,95841,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Heritage+Oaks+Hospital+CA
Heritage Oaks Patient Enrichment Center,Sacramento,CA,16,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Heritage+Oaks+Patient+Enrichment+Center+CA
Hermitage Hall,Nashville,TN,111,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Hermitage+Hall+TN
Hickory Trail Hospital,DeSoto,TX,86,OWNED,1,1467965905,"HICKORY TRAIL HOSPITAL, L.P.",,2000 OLD HICKORY TRL,75115,"Psychiatry & Neurology, Behavioral Neurology & Neuropsychiatry",674055,Yes,https://www.ahd.com/free_profile/674055/Hickory-Trail-Hospital/DeSoto/TX/
Highlands Behavioral Health System,Littleton,CO,86,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Highlands+Behavioral+Health+System+CO
Hill Crest Behavioral Health Services,Birmingham,AL,221,OWNED,1,1073700498,HILL CREST BEHAVIORAL HEALTH SERVICES,800-292-8553,6869 5TH AVE S,35212,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Hill+Crest+Behavioral+Health+Services+AL
Holly Hill Hospital,Raleigh,NC,296,OWNED,1,1184842544,HOLLY HILL HOSPITAL,919-250-7000,3019 FALSTAFF RD,27610,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Holly+Hill+Hospital+NC
The Horsham Clinic,Ambler,PA,206,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Horsham+Clinic+PA
HRI Hospital,Brookline,MA,66,OWNED,1,1518938174,"HRI HOSPITAL, INC",617-731-3200,227 BABCOCK ST,02446,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=HRI+Hospital+MA
The Hughes Center,Danville,VA,96,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=The+Hughes+Center+VA
Inland Northwest Behavioral Health,Spokane,WA,100,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Inland+Northwest+Behavioral+Health+WA
Intermountain Hospital,Boise,ID,155,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Intermountain+Hospital+ID
Kempsville Center for Behavioral Health,Norfolk,VA,106,OWNED,1,1942231063,HARBOR POINT BEHAVIORAL HEALTH CENTER INC,757-461-4565,860 KEMPSVILLE RD,23502,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Kempsville+Center+for+Behavioral+Health+VA
KeyStone Center,Chester,PA,153,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=KeyStone+Center+PA
Kingwood Pines Hospital,Kingwood,TX,116,OWNED,1,,,,,,,454104,Yes,https://www.ahd.com/free_profile/454104/Kingwood-Pines-Hospital/Kingwood/TX/
La Amistad Behavioral Health Services,Maitland,FL,85,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=La+Amistad+Behavioral+Health+Services+FL
Lakeside Behavioral Health System,Memphis,TN,373,OWNED,1,1083687651,UHS OF LAKESIDE LLC,901-377-4700,2911 BRUNSWICK RD,38133,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Lakeside+Behavioral+Health+System+TN
Lancaster Behavioral Health Hospital,Lancaster,PA,126,OWNED,1,1063929115,LANCASTER BEHAVIORAL HEALTH HOSPITAL LLC,610-768-3300,333 HARRISBURG AVE,17603,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Lancaster+Behavioral+Health+Hospital+PA
Laurel Heights Hospital,Atlanta,GA,132,OWNED,1,1306913736,"UHS OF LAUREL HEIGHTS, LP",404-888-7860,934 BRIARCLIFF RD NE,30306,Psychiatric Hospital,,No,https://www.ahd.com/search.php?search=Laurel+Heights+Hospital+GA
Laurel Oaks Behavioral Health Center,Dothan,AL,118,OWNED,1,1184197493,LAUREL OAKS BEHAVIORAL HEALTH CENTER INC,334-794-7373,700 E COTTONWOOD RD,36301,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Laurel+Oaks+Behavioral+Health+Center+AL
Laurel Ridge Treatment Center,San Antonio,TX,330,OWNED,1,1043280951,TEXAS LAUREL RIDGE HOSPITAL LP,210-491-9400,17720 CORPORATE WOODS DR,78259,Psychiatric Residential Treatment Facility,454055,Yes,https://www.ahd.com/free_profile/454055/Laurel-Ridge-Treatment-Center/San-Antonio/TX/
Liberty Point Behavioral Healthcare,Stauton,VA,42,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Liberty+Point+Behavioral+Healthcare+VA
Lighthouse Behavioral Health Hospital,Conway,SC,105,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Lighthouse+Behavioral+Health+Hospital+SC
Lighthouse Care Center of Augusta,Augusta,GA,82,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Lighthouse+Care+Center+of+Augusta+GA
Lincoln Prairie Behavioral Health Center,Springfield,IL,97,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Lincoln+Prairie+Behavioral+Health+Center+IL
Lincoln Trail Behavioral Health System,Radcliff,KY,140,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=Lincoln+Trail+Behavioral+Health+System+KY
Mayhill Hospital,Denton,TX,59,LEASED,1,1447331418,DENTON REHABILITATION HOSPITAL LP,940-239-3000,2809 S MAYHILL RD,76208,Rehabilitation Unit,674054,Yes,https://www.ahd.com/free_profile/674054/Mayhill-Hospital/Denton/TX/
McDowell Center for Children,Dyersburg,TN,32,OWNED,1,,,,,,,,No,https://www.ahd.com/search.php?search=McDowell+Center+for+Children+TN
The Meadows Psychiatric Center,Centre Hall,PA,119,OWNED,2,,,,,,,394055,Yes,https://www.ahd.com/free_profile/394055/The-Meadows-Psychiatric-Center/Centre-Hall/PA/
Meridell Achievement Center,Liberty Hill,TX,134,OWNED,2,1801863311,MERIDELL ACHIEVEMENT CENTER,512-528-2100,12550 W HWY 29,78642,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Meridell+Achievement+Center+TX
Mesilla Valley Hospital,Las Cruces,NM,120,OWNED,2,1841205671,BHC MESILLA VALLEY HOSPITAL LLC,575-382-3500,3751 DEL REY BLVD,88012,Psychiatric Residential Treatment Facility,324002,Yes,https://www.ahd.com/free_profile/324002/Mesilla-Valley-Hospital/Las-Cruces/NM/
Michael's House,Palm Springs,CA,60,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Michael's+House+CA
Michiana Behavioral Health,Plymouth,IN,83,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Michiana+Behavioral+Health+IN
Midwest Center for Youth and Families,Kouts,IN,75,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Midwest+Center+for+Youth+and+Families+IN
Millwood Hospital,Arlington,TX,134,LEASED,2,,,,,,,454089,Yes,https://www.ahd.com/free_profile/454089/Millwood-Hospital/Arlington/TX/
Mountain Youth Academy,Mountain City,TN,122,OWNED,2,1083832117,MOUNTAIN YOUTH ACADEMY,423-727-9898,332 HOSPITAL RD,37683,"Residential Treatment Facility, Intellectual and/or Developmental Disabilities",,No,https://www.ahd.com/search.php?search=Mountain+Youth+Academy+TN
Newport News Behavioral Health Center,Newport News,VA,132,OWNED,2,1306389184,KEYSTONE NEWPORT NEWS,757-888-0400,17579 WARWICK BLVD,23603,Psychiatric Hospital,494016,Yes,https://www.ahd.com/free_profile/494016/Newport-News-Behavioral-Health-Center/Newport-News/VA/
North Spring Behavioral Healthcare,Leesburg,VA,127,LEASED,2,,,,,,,,No,https://www.ahd.com/search.php?search=North+Spring+Behavioral+Healthcare+VA
North Star Hospital,Anchorage,AK,74,OWNED,2,,,,,,,024001,Yes,https://www.ahd.com/free_profile/024001/North-Star-Hospital/Anchorage/AK/
Chris Kyle Patriots Hospital,Anchorage,AK,66,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Chris+Kyle+Patriots+Hospital+AK
North Star DeBarr Residential Treatment Center,Anchorage,AK,30,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=North+Star+DeBarr+Residential+Treatment+Center+AK
North Star Palmer Residential Treatment Center,Palmer,AK,30,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=North+Star+Palmer+Residential+Treatment+Center+AK
Oak Plains Academy,Ashland City,TN,60,OWNED,2,1891713624,OAK PLAINS ACADEMY,931-362-4723,1751 OAK PLAINS RD,37015,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Oak+Plains+Academy+TN
Okaloosa Youth Academy,Crestview,FL,72,LEASED,2,1841418332,GULF COAST YOUTH SERVICES,850-863-4160,4455 STRAIGHT LINE RD,32539,Custodial Care Facility,,No,https://www.ahd.com/search.php?search=Okaloosa+Youth+Academy+FL
Old Vineyard Behavioral Health Services,Winston-Salem,NC,164,OWNED,2,,,,,,,344038,Yes,https://www.ahd.com/free_profile/344038/Old-Vineyard-Behavioral-Health-Services/Winston-Salem/NC/
Palm Point Behavioral Health,Titusville,FL,74,OWNED,2,1497403562,PALM POINT BEHAVIORAL HEALTH LLC,,2355 TRUMAN SCARBOROUGH WAY,32796,"Psychiatry & Neurology, Psychiatry",,No,https://www.ahd.com/search.php?search=Palm+Point+Behavioral+Health+FL
Palm Shores Behavioral Health Center,Bradenton,FL,65,OWNED,2,,,,,,,104083,Yes,https://www.ahd.com/free_profile/104083/Palm-Shores-Behavioral-Health-Center/Bradenton/FL/
Palmetto Lowcountry Behavioral Health,North Charleston,SC,108,OWNED,2,,,,,,,424011,Yes,https://www.ahd.com/free_profile/424011/Palmetto-Lowcountry-Behavioral-Health/North-Charleston/SC/
Palo Verde Behavioral Health,Tucson,AZ,84,OWNED,2,1194043463,PALO VERDE,520-584-7417,1302 S AVENIDA VEGA,85710,Local Education Agency (LEA),,No,https://www.ahd.com/search.php?search=Palo+Verde+Behavioral+Health+AZ
Parkwood Behavioral Health System,Olive Branch,MS,148,OWNED,2,1558504407,PARKWOOD BEHAVIORAL HEALTH SYSTEM,662-895-4900,8135 GOODMAN RD,38654,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Parkwood+Behavioral+Health+System+MS
The Pavilion Behavioral Health System,Champaign,IL,122,OWNED,2,,,,,,,144026,Yes,https://www.ahd.com/free_profile/144026/The-Pavilion-Behavioral-Health-System/Champaign/IL/
Peachford Hospital,Atlanta,GA,246,OWNED,2,,,,,,,114021,Yes,https://www.ahd.com/free_profile/114021/Peachford-Hospital/Atlanta/GA/
Pembroke Hospital,Pembroke,MA,120,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Pembroke+Hospital+MA
Pinnacle Pointe Behavioral Healthcare System,Little Rock,AR,127,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Pinnacle+Pointe+Behavioral+Healthcare+System+AR
Poplar Springs Hospital,Petersburg,VA,208,OWNED,2,1720163652,HHC POPLAR SPRINGS HOSPITAL INC,804-733-6874,350 POPLAR DR P O BOX 3060,23805,Counselor,,No,https://www.ahd.com/search.php?search=Poplar+Springs+Hospital+VA
Prairie St John's,Fargo,ND,132,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Prairie+St+John's+ND
PRIDE Institute,Eden Prairie,MN,42,OWNED,2,1699141358,PRIDE INSTITUTE,952-934-7554,14400 MARTIN DR,55344,Substance Abuse Rehabilitation Facility,,No,https://www.ahd.com/search.php?search=PRIDE+Institute+MN
Provo Canyon School,Provo,UT,250,OWNED,2,1609843523,UHS PROVO CANYON INC,800-848-9819,4501 N UNIVERSITY AVE,84604,Psychiatric Residential Treatment Facility,,No,https://www.ahd.com/search.php?search=Provo+Canyon+School+UT
Psychiatric Institute of Washington,Washington,DC,130,OWNED,2,1801279393,WISCONSIN AVE PSYCHIATRIC CENTER INC,202-885-5600,4228 WISCONSIN AVE NW,20016,"Counselor, Mental Health",,No,https://www.ahd.com/search.php?search=Psychiatric+Institute+of+Washington+DC
Quail Run Behavioral Health,Phoenix,AZ,116,OWNED,2,,,,,,,054084,Yes,https://www.ahd.com/free_profile/054084/Quail-Run-Behavioral-Health/Phoenix/AZ/
The Ridge Behavioral Health System,Lexington,KY,110,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=The+Ridge+Behavioral+Health+System+KY
Rivendell Behavioral Health Hospital,Bowling Green,KY,125,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Rivendell+Behavioral+Health+Hospital+KY
Rivendell Behavioral Health Services of Arkansas,Benton,AR,80,OWNED,2,,,,,,,,No,https://www.ahd.com/search.php?search=Rivendell+Behavioral+Health+Services+of+Arkansas+AR
